material_id,composition,tc
139,Bi3Rh1,3.175
305,Hf1Tc2,5.6
815,Zr1Ru1As1,8.716666666666667
208,Ce1Ru2,5.998272727272727
74,Ba1Bi3,5.745
502,Mo4P3,2.75
590,Pd1Zr2,2.36
200,Ce1Pd1Bi1,1.3
677,Si3Sr2,0.55
249,Er1Pd2Sn1,1.17
510,Nb1P1S1,12.5
408,La1Ru2Si2,3.5
265,Ga1Ta4Se8,5.8
339,Ir1Ti3,5.1850000000000005
495,Mo2B1C1,7.5
215,Co1Hf2,0.56
16,Al3Mg2,0.855
343,Ir2Sc1,1.5499999999999998
488,Mg1B2,33.0
12,Al2C1Mo3,9.025
131,Bi2Sr2Cu1O6,8.9625
156,Ca1Fe2As2,11.8
818,Zr1V1Ge1,6.0
641,Re2Y1,1.83
474,Lu1S1,1.1
621,Pt1Sb1,2.1
447,La7Rh3,2.59
171,Ca2In1N1,0.6
146,C2Y1,3.895428571428572
335,In3Y1,0.78
346,Ir2Y3,1.61
625,Pt1Ti3,0.58
576,Pb4Pt1,2.8
207,Ce1Rh2Si2,0.3566666666666667
443,La6Zn1Sb15,3.74
798,Y6Ta4Al43,0.68
767,Y1Pd2Pb1,4.13
374,La1Ni1Ga2,1.97
702,Sr1Pt1Ge3,1.0
546,Ni2Hf1Ga1,1.12
785,Y2Ir3Si5,3.005
619,Pr1V2Al20,0.0445
13,Al2La1,2.5881666666666665
667,Sc1Rh2Sn1,2.0
741,Tl1V6S8,4.1
652,Ru1Sb1,1.2
353,K1Ni2S2,0.46
749,Tm2Fe3Si5,1.8433333333333333
428,La3Ni4Si4,0.96
465,Lu1Pd2Si2,0.67
582,Pd1Se1Te1,1.2
723,Tc2Zr1,7.6
302,Hf1Rh1,1.73
22,As1Pd5,0.46
406,La1Ru2,3.7032
300,Hf1Pd2Al1,3.66
21,As1Nb3,2.353333333333333
365,La1Ir1Si1,2.3
417,La1Tl3,1.5666666666666669
323,I1Bi2Sr2Ca1Cu2O8,65.25
665,Sc1Os1B2,1.34
357,K2Mo15Se19,2.1
295,H4Si1,17.0
212,Ce2Ni3Ge5,0.22
280,Gd1Ba2Cu4O8,73.28571428571429
307,Hf2Rh1,1.72
113,Bi1Li1,2.4625000000000004
432,La3Rh2Ge2,3.5
620,Pt1,0.0049879999999999
163,Ca1Pb1,7.0
646,Rh1Zr2,11.165
190,Ce1Co2,1.1125
328,In1Y1Au2,1.9
394,La1Pt2,0.46
115,Bi1Pd1Se1,1.0
565,Pb1Mo6S4Se4,3.2
248,Er1Ni2B2C1,10.326363636363636
68,B3Ru7,2.98
192,Ce1Cu2Si2,0.6496999999999999
750,Tm5Ir4Si10,1.9
633,Rb1V6S8,0.65
501,Mo3Si1,1.402
62,B2Os1,2.1300000000000003
187,Ce1Bi1S2O1,2.3
731,Ti2In1N1,7.3
596,Pd2Sc1Sn1,2.1
296,Hf1N1Cl1,25.5
468,Lu1Re2,1.7
76,Ba1Hg1,2.32
63,B2Re1,6.3
776,Y1Ru2Si2,1.1
87,Ba2Bi3,4.44
674,Sc5Rh4Si10,8.405
816,Zr1Ru1Ge1,9.0
23,As1Rh1,0.58
5,Al13Os4,5.4
238,Dy1Ba2Cu4O8,74.46666666666667
637,Re24Ti5,6.6
814,Zr1Rh1P1,1.525
410,La1Ru4Sb12,3.293333333333333
456,Li2Pt3B1,2.728
183,Cd1Mo6Se8,2.4
791,Y3Pt4Ge6,2.6
376,La1Ni1Sb2,1.0
634,Re1Ge2,2.7
746,Tm1Ir4B4,1.675
356,K2In1Mo15Se19,1.3
782,Y2Fe1C4,3.6
703,Sr1Sn3Sb4,3.9
684,Sm1Rh4B4,2.6475
172,Ca2Pt3Si5,1.3
93,Ba6Ge25,0.24
138,Bi3Ni1,3.935
211,Ce2Co1In8,0.4
198,Ce1Ni2B2C1,0.1
469,Lu1Rh2Sn1,2.9
559,P1Pd3,0.35
698,Sr1Pd1Ge3,1.5
732,Ti50V50,6.15
263,Ga1Pt1,1.74
561,P1Zr3,4.5
83,Ba1Sn3,4.3
34,Au1Lu1,0.37
26,As2Mo1,0.41
685,Sn1Mo6Se8,3.4
585,Pd1Te1,3.01
392,La1Pt1Ge1,3.4
141,Bi4Rh1,2.95
449,La9Br5B3C6,6.0
615,Pr1Pt4Ge12,7.876
439,La3Sn1,6.2
770,Y1Pt1Bi1,0.9066666666666666
290,Ge2Zr1,8.0
292,Ge3Y1,2.35
527,Nb3Sn0.1Sn0.9,16.2
697,Sr1Ni2P2,1.415
672,Sc5Co4Si10,4.81
158,Ca1Ge3,6.8
