index,materials,critical_temp
196,Ce1Ir1Si3,1.53
197,Ce1Ni1Ge3,0.45499999999999996
198,Ce1Ni2B2C1,0.1
199,Ce1Ni2Ge2,0.21666666666666667
200,Ce1Pd1Bi1,1.3
201,Ce1Pd2Si2,0.421
202,Ce1Pd5Al2,0.735
203,Ce1Pt1Si2,0.14
204,Ce1Pt3Si1,0.6692222222222222
205,Ce1Rh1In5,1.8587500000000001
206,Ce1Rh1Si3,0.914
207,Ce1Rh2Si2,0.3566666666666667
208,Ce1Ru2,5.9982727272727265
209,Ce1Ru3B2,1.1
210,Ce1Ru3Si2,1.25
211,Ce2Co1In8,0.4
212,Ce2Ni3Ge5,0.22
213,Ce2Pd1In8,0.69
214,Ce2Rh1In8,1.0833333333333333
215,Co1Hf2,0.56
216,Co1La3,4.226666666666667
217,Co1Lu3,0.35
218,Co1Si2,1.3066666666666666
219,Co1Ti1,0.71
220,Co3Y4,2.033333333333333
221,Cr3Ir1,0.256
222,Cr3Rh1,0.07
223,Cs1Fe2As2,2.08
224,Cs1Os2O6,3.2699999999999996
225,Cs1V6S8,0.32
226,Cu1Co2S4,3.9
227,Cu1La1,6.0
228,Cu1Mo6Se8,5.9
229,Cu1Rh2S4,4.7425
230,Cu1Rh2Se4,3.4625
231,Cu1S1Se1,1.625
232,Cu1Se1Te,1.6
233,Cu1Se1Te1,1.9
234,Cu2Sb1,0.085
235,Cu4K1S3,1.4
236,Cu50Sn50,3.26
237,Dy1Ba2Cu3O7,86.13181818181819
238,Dy1Ba2Cu4O8,74.46666666666667
239,Dy1Ga6,5.9
240,Dy1Ir2Rh2B4,4.64
241,Dy1Mo6S8,1.6
242,Dy1Ni2B2C1,5.42076923076923
243,Dy1Rh2Ir2B4,4.53
244,Er1Ba2Cu3O7,88.39333333333335
245,Er1Ba2Cu4O8,78.525
246,Er1Ir2Rh2B4,7.37
247,Er1Ir4B4,2.2199999999999998
248,Er1Ni2B2C1,10.326363636363636
249,Er1Pd2Sn1,1.17
250,Er1Rh2Ir2B4,6.76
251,Er2Fe3Si5,0.93
252,Eu1Ba2Cu3O7,89.19615384615385
253,Eu1Ba2Cu4O8,70.1
254,Eu1Fe2As2,28.9
255,Fe1P1Sr2Sc1O3,15.0
256,Fe2As2Sr4Mg1Ti1O6,6.0
257,Fe2As2Sr4V2O6,27.0
258,Ga1Hf2,0.21
259,Ga1La3,5.82
260,Ga1Mo3,0.76
261,Ga1Nb3,16.88888888888889
262,Ga1Nb4Se8,2.9
263,Ga1Pt1,1.74
264,Ga1Sr2Ca2Cu3O9,70.0
265,Ga1Ta4Se8,5.8
266,Ga1V1,16.45
267,Ga1Zr2,0.38
268,Ga25Nb75,17.6
269,Ga2La1,1.15
270,Ga2Y1,1.68
271,Ga3Lu1,2.25
272,Ga3Sc1,2.1
273,Ga3Zr5,3.85
274,Ga41Mo8,9.7
275,Ga5V2,3.57
276,Ga6Y1,2.0
277,Ga7Pt3,2.9
278,Gd1Ba2Cu3O7,89.762
279,Gd1Ba2Cu3S1O6,92.0
280,Gd1Ba2Cu4O8,73.28571428571429
281,Ge1Ir1,4.7
282,Ge1Mo3,2.1792
283,Ge1Pt1,0.4
284,Ge1V3,6.859999999999999
285,Ge2Hf1,2.2
286,Ge2La1,1.9766666666666668
287,Ge2Lu1,2.6
288,Ge2Sc1,1.3
289,Ge2Y1,3.8
290,Ge2Zr1,8.0
291,Ge3Rh5,2.12
292,Ge3Y1,2.35
293,Ge5La1,7.0
294,Ge7Ir3,0.87
295,H4Si1,17.0
296,Hf1N1Cl1,25.5
297,Hf1Os1As1,3.2
298,Hf1Os1P1,5.8149999999999995
299,Hf1Os2,2.27
300,Hf1Pd2Al1,3.66
301,Hf1Re2,5.203333333333333
302,Hf1Rh1,1.73
303,Hf1Rh1Si1,2.3
304,Hf1Ru1P1,11.796666666666667
305,Hf1Tc2,5.6
306,Hf2Ni1,0.87
307,Hf2Rh1,1.72
308,Hf5Re24,4.3
309,Hg1Ba2Ca1Cu2O6,119.75625
310,Hg1Ba2Ca2Cu3O8,126.61428571428571
311,Hg1Ba2Ca3Cu4O10,123.5
312,Hg1Ba2Cu1O4,76.21785714285714
313,Hg1In1,3.81
314,Hg1Mg1,0.9349999999999999
315,Hg1Pb2,5.8
316,Hg1Sr2La1Cu2O6,28.0
317,Hg2K1,1.2
318,Hg2Na1,1.62
319,Ho1Ba2Cu3O7,91.97777777777777
320,Ho1Ba2Cu4O8,76.78
321,Ho1Ni2B2C1,8.003125
322,Ho1Rh4B4,1.4
323,I1Bi2Sr2Ca1Cu2O8,65.25
324,In1La3,9.61
325,In1Pd1,0.7
326,In1Sc1Au2,3.02
327,In1V6S8,3.9
328,In1Y1Au2,1.9
329,In2Mo15Se19,1.5
330,In3La1,0.7
331,In3Lu1,0.24
332,In3Mo15Se19,3.32
333,In3Rh1,0.19
334,In3Te4,1.2
335,In3Y1,0.78
336,Ir1Mo3,8.030999999999999
337,Ir1Nb3,1.8766666666666667
338,Ir1Sn2,0.7150000000000001
339,Ir1Ti3,5.1850000000000005
340,Ir1Zr3,2.13
341,Ir2La1,0.48
342,Ir2Lu1,2.47
343,Ir2Sc1,1.5499999999999998
344,Ir2Sr1,5.7
345,Ir2Y1,1.6350000000000002
346,Ir2Y3,1.61
347,Ir2Zr1,4.1
348,Ir3La7,2.2800000000000002
349,Ir3Y1,3.5
350,Ir5La1,2.13
351,K1Fe2As2,3.3294444444444444
352,K1Fe2Se2,40.0
353,K1Ni2S2,0.46
354,K1Ni2Se2,0.8
355,K1V6S8,0.71
356,K2In1Mo15Se19,1.3
357,K2Mo15Se19,2.1
358,La1Al2,3.23
359,La1Bi1Pt1,0.9
360,La1Cu1Sb2,0.9
361,La1Fe1P1O1,5.878461538461538
362,La1Fe4P12,4.1000000000000005
363,La1Ir1As1,3.1
364,La1Ir1P1,5.3
365,La1Ir1Si1,2.3
366,La1Ir1Si3,1.4733333333333334
367,La1Ir2Ge2,1.5
368,La1Ir3B2,1.65
369,La1Mo6S8,6.7299999999999995
370,La1Mo6Se8,11.233333333333334
371,La1Ni1As1O1,2.7099999999999995
372,La1Ni1B1N1,3.92
373,La1Ni1C2,2.8899999999999997
374,La1Ni1Ga2,1.97
375,La1Ni1P1O1,3.0
376,La1Ni1Sb2,1.0
377,La1Ni1Si1,1.23
378,La1Ni1Sn1,0.59
379,La1Ni2Ge2,0.69
380,La1Ni2P2,2.6
381,La1Os4As12,3.2
382,La1Os4P12,1.8
383,La1Os4Sb12,0.80775
384,La1Pb3,4.086666666666667
385,La1Pd1Sb2,2.7
386,La1Pd2Al3,0.85
387,La1Pd2As2,0.97
388,La1Pd2Ge2,1.04
389,La1Pd2P2,0.75
390,La1Pd2Sb2,1.3
391,La1Pd2Si2,0.39
392,La1Pt1Ge1,3.4
393,La1Pt1Si1,3.8333333333333335
394,La1Pt2,0.46
395,La1Pt2B2C1,10.25
396,La1Pt3Si1,0.6
397,La1Pt4Ge12,8.253333333333332
398,La1Rh1Al1,2.4
399,La1Rh1P1,2.5
400,La1Rh1Sb1,2.1
401,La1Rh1Si1,4.35
402,La1Rh1Si3,2.245
403,La1Rh1Sn1,1.9166666666666667
404,La1Rh2Si2,1.6580000000000001
405,La1Rh3B2,2.57
406,La1Ru2,3.7032
407,La1Ru2P2,3.9333333333333336
408,La1Ru2Si2,3.5
409,La1Ru4P12,6.923333333333333
410,La1Ru4Sb12,3.293333333333333
411,La1Sb2,0.8
412,La1Si10,6.7
413,La1Si2,2.4
414,La1Si5,11.4
415,La1Sn2,3.6
416,La1Sn3,6.3582857142857145
417,La1Tl3,1.5666666666666667
418,La1Zn1,1.04
419,La2C2Br2,7.03
420,La2Rh3Si5,4.4
421,La2Rh3Sn5,1.85
422,La2Sb1,3.025
423,La3Co4Sn13,2.425
424,La3Ir4Sn13,2.55
425,La3Ni1,3.6
426,La3Ni2B2N3,13.0325
427,La3Ni4P4O2,2.2
428,La3Ni4Si4,0.96
429,La3Pd4Ge4,2.4933333333333336
430,La3Pd4Si4,2.065
431,La3Pd5Si1,1.4
432,La3Rh2Ge2,3.5
433,La3Rh4Pb13,2.2
434,La3Ru4Sn13,2.65
435,La3Ru8B6,3.15
436,La3S4,7.846666666666667
437,La3Sb3Y1,0.13
438,La3Se4,8.325999999999999
439,La3Sn1,6.2
440,La3Te4,4.0275
441,La4Sb3,0.25
442,La5Ru2,2.35
443,La6Zn1Sb15,3.74
444,La7Ir3,2.33
445,La7Ni3,2.1
446,La7Pd3,1.48
447,La7Rh3,2.59
448,La7Ru3,1.835
449,La9Br5B3C6,6.0
450,Li1Cu2P2,3.7
451,Li1Pb1,7.2
452,Li2B1Pd3,7.61
453,Li2B1Pt3,1.86
454,Li2Mo15Se19,2.6
455,Li2Pd3B1,7.497
456,Li2Pt3B1,2.728
457,Li3Mo15Se19,3.5
458,Lu1Ba2Cu3O7,88.155
459,Lu1Mo6S8,2.2
460,Lu1Ni1B1C1,2.7866666666666666
461,Lu1Ni2B2C1,15.880666666666666
462,Lu1Os1B2,2.66
463,Lu1Os2,3.49
464,Lu1Os3B2,4.655
465,Lu1Pd2Si2,0.67
466,Lu1Pd2Sn1,2.91
467,Lu1Pt1Bi1,1.0
468,Lu1Re2,1.7
469,Lu1Rh2Sn1,2.9
470,Lu1Ru1B2,10.053999999999998
471,Lu1Ru2,1.545
472,Lu1Ru2Si2,2.4
473,Lu1Ru4B4,2.0
474,Lu1S1,1.1
475,Lu1Se1,0.56
476,Lu1Si3,6.78
477,Lu1Tc2,9.9
478,Lu2Fe3Si5,5.492222222222222
479,Lu2Ir3Si5,4.425
480,Lu3Os4Ge13,3.6
481,Lu3Rh4Ge13,2.3
482,Lu3Ru4Ge13,2.3
483,Lu5Ir4Ge10,2.55
484,Lu5Ir4Si10,3.82
485,Lu5Rh4Ge10,2.79
486,Mg10Ir19B16,4.0875
487,Mg1Al1Si1,6.0
488,Mg1B2,33.0
489,Mg1C1Ni3,6.91125
490,Mg2Zn11,0.88
491,Mg4Al1Si3,5.2
492,Mo1Ni1P1,15.5
493,Mo1Ru1,10.0
494,Mo1Sr2Y1Cu2O7,25.0
495,Mo2B1C1,7.5
496,Mo2Ir1B2,3.6
497,Mo3Al2C1,10.0
498,Mo3Os1,11.0225
499,Mo3S2Se2,3.3
500,Mo3Sb7,2.9699999999999998
501,Mo3Si1,1.402
502,Mo4P3,2.75
503,Mo4Re2Te8,3.5
504,Mo5Si1B2,5.8
505,Mo6S6Br2,13.4
506,Mo8P5,5.8
507,N5Nb4,8.5
508,Na1Al1Si1,7.2
509,Na1Pb3,5.62
510,Nb1P1S1,12.5
511,Nb1Pt1Si1,1.24
512,Nb1Rh1P1,4.25
513,Nb1Ru1Si1,2.65
514,Nb1Si1As1,8.2
515,Nb1Sn2,2.64
516,Nb25Ti50Mo25,4.3
517,Nb2As1C1,2.0
518,Nb2In1C1,7.5
519,Nb2Pd1S5,6.125
520,Nb2Sn1C1,5.9
521,Nb3Os2,1.78
522,Nb3Pt1,9.516428571428571
523,Nb3Rh1,2.7423333333333333
524,Nb3Sb1,2.2
525,Nb3Se4,1.9425000000000001
526,Nb3Sn0.05Sn0.95,16.9
527,Nb3Sn0.1Sn0.9,16.2
528,Nb3Sn0.2Sn0.8,15.89
529,Nb3Sn1,17.846
530,Nb4Co1Si1,6.0
531,Nb4Fe1Si1,6.8
532,Nb4Ni1Si1,7.7
533,Nb50Zr25Hf25,10.1
534,Nb50Zr50,10.2
535,Nb6Sn5,2.4349999999999996
536,NbSn3,18.0
537,Nd1Ba2Cu3O7,91.62035714285715
538,Nd1Mo6S8,3.5
539,Nd1Pt4Ge12,0.7
540,Nd1Rh4B4,5.323333333333333
541,Ni1Sm1,1.6
542,Ni1Zr2,1.9816666666666667
543,Ni1Zr3,3.35
544,Ni20Zr80,3.4699999999999998
545,Ni2Hf1Al1,0.74
546,Ni2Hf1Ga1,1.12
547,Ni2Nb1Al1,2.15
548,Ni2Nb1Ga1,1.54
549,Ni2Nb1Sn1,3.15
550,Ni2P2Sr4Sc2O6,3.5250000000000004
551,Ni2Zr1Ga1,2.87
552,O1V3Zr3,7.5
553,O1W3,3.35
554,Os1Ti1,0.46
555,Os2Sc1,4.6
556,Os2Y1,4.7
557,Os2Zr1,2.95
558,P1Pb1,7.8
559,P1Pd3,0.35
560,P1Rh2,1.3
561,P1Zr3,4.5
562,P3Pd7,0.85
563,P3Sn4,1.24
564,P4W14O50,0.39
565,Pb1Mo6S4Se4,3.2
566,Pb1Ta1Se2,3.695
567,Pb1Zr3,0.76
568,Pb2Pd1,2.98
569,Pb2Rh1,2.66
570,Pb2Sr2Dy1Cu3O8,76.5
571,Pb2Sr2Eu1Cu3O8,71.0
572,Pb3Sr1,1.85
573,Pb3Y1,4.72
574,Pb3Yb1,0.23
575,Pb3Zr5,4.6
576,Pb4Pt1,2.8
577,Pd17Se15,2.2
578,Pd1Sb1,1.58
579,Pd1Sb1Se1,1.0
580,Pd1Sb1Te1,1.2
581,Pd1Sb2,1.25
582,Pd1Se1Te1,1.2
583,Pd1Sn1,0.41
584,Pd1Sn2,3.34
585,Pd1Te1,3.01
586,Pd1Te2,1.6099999999999999
587,Pd1Tl1Pb1,1.78
588,Pd1Tl2,1.32
589,Pd1V3,0.081
590,Pd1Zr2,2.36
591,Pd20Zr80,2.91
592,Pd2Hf1Al1,3.5833333333333335
593,Pd2In1Y1,1.04
594,Pd2Lu1Pb1,2.4
595,Pd2Lu1Sn1,3.05
596,Pd2Sc1Sn1,2.0999999999999996
597,Pd2Sn1,0.41
598,Pd2Sn1Y1,4.9
599,Pd2Tm1Pb1,2.1
600,Pd2Tm1Sn1,2.82
601,Pd2Y1Pb1,2.3
602,Pd2Y1Sn1,4.55
603,Pd2Yb1Pb1,2.65
604,Pd2Yb1Sn1,2.3899999999999997
605,Pd2Zr1Al1,3.2
606,Pd34Se11,2.66
607,Pd4Se1,0.42
608,Pd7Se2,0.53
609,Pr1Ba2Cu3O7,91.0
610,Pr1Fe1As1O,34.5
611,Pr1Fe1P1O1,3.5866666666666664
612,Pr1Mo6S8,2.55
613,Pr1Os4Sb12,1.83
614,Pr1Pt2B2C1,6.0
615,Pr1Pt4Ge12,7.876
616,Pr1Ru4As12,2.3825
617,Pr1Ru4P12,1.8
618,Pr1Ti2Al20,0.19
619,Pr1V2Al20,0.0445
620,Pt1,0.004987999999999999
621,Pt1Sb1,2.1
622,Pt1Si1,0.88
623,Pt1Sn1,0.37
624,Pt1Sn4,2.38
625,Pt1Ti3,0.58
626,Pt2Sr1,0.7
627,Pt2Y1,2.835
628,Pt2Y8,0.9
629,Pt3Y7,0.82
630,Rb1Bi1O3,11.0
631,Rb1Fe2As2,2.38
632,Rb1Os2O6,6.318
633,Rb1V6S8,0.65
634,Re1Ge2,2.7
635,Re1Ta1,1.3
636,Re24Sc5,2.2
637,Re24Ti5,6.6
638,Re24Zr5,3.875
639,Re2Sc1,2.565
640,Re2Si1,3.8
641,Re2Y1,1.83
642,Re2Zr1,6.366666666666667
643,Rh17S15,5.5200000000000005
644,Rh1V3,0.38
645,Rh1Y3,0.65
646,Rh1Zr2,11.165
647,Rh2Sr1,6.2
648,Rh2Y3,1.48
649,Rh3Bi14,2.94
650,Rh3Y1,1.07
651,Rh5Y1,0.56
652,Ru1Sb1,1.2
653,Ru1Ti1,1.07
654,Ru1W1,7.5
655,Ru2Sc1,2.09
656,Ru2Y1,2.23
657,Ru2Zr1,2.0533333333333332
658,Ru7B3,3.05
659,S1Se1Ta1,3.7
660,Sb1Ta3,0.72
661,Sb1V3,0.65
662,Sb2Tl7,5.2
663,Sb2Yb1,1.3
664,Sc1Ir1P1,3.46
665,Sc1Os1B2,1.34
666,Sc1Pd2Sn1,2.145
667,Sc1Rh2Sn1,2.0
668,Sc1Ru4B4,7.27
669,Sc1Tc2,10.9
670,Sc2Fe3Si5,4.57
671,Sc4Rh6Ge19,1.9
672,Sc5Co4Si10,4.81
673,Sc5Ir4Si10,8.311428571428571
674,Sc5Rh4Si10,8.405
675,Se1Y1,3.25
676,Si2W3,2.84
677,Si3Sr2,0.55
678,Si3W5,2.7
679,Si3Y1,4.63
680,Sm1Ba2Cu3O7,80.35
681,Sm1Ba2Cu4O8,69.3
682,Sm1Fe1As1O,53.8
683,Sm1Fe1P1O1,2.5
684,Sm1Rh4B4,2.6475
685,Sn1Mo6Se8,3.4
686,Sn1Ta3,6.6925
687,Sn3Yb1,3.6
688,Sn3Zr5,1.9
689,Sr1Al1Ge1,6.7
690,Sr1Al1Si1,4.75
691,Sr1Au1Si3,1.65
692,Sr1Fe2As1P1,9.095
693,Sr1Fe2As2,27.566666666666666
694,Sr1Ga1Si1,5.0
695,Sr1Ni2As2,0.66
696,Sr1Ni2Ge2,0.8825000000000001
697,Sr1Ni2P2,1.415
698,Sr1Pd1Ge3,1.5
699,Sr1Pd2As2,0.92
700,Sr1Pd2Ge2,2.8920000000000003
701,Sr1Pt1As1,2.425
702,Sr1Pt1Ge3,1.0
703,Sr1Sn3Sb4,3.9
704,Sr2Cu1Cl1O2,20.0
705,Sr2Ru1O4,1.3419999999999999
706,Sr2Sc1Fe1P1O3,12.0
707,Sr2V1Fe1As1O3,29.775000000000002
708,Sr3Ir4Sn13,5.016666666666667
709,Sr3Rh4Sn13,4.216666666666667
710,Sr3Rh8B6,3.4
711,Sr4Sc2Fe2P2O6,17.0
712,Sr4V2Fe2As2O6,31.5
713,Ta1Ge2,2.3
714,Ta1Ir1Si1,0.5
715,Ta1Pt1Si1,3.54
716,Ta1Rh1P1,4.635
717,Ta1Ru1Si1,3.15
718,Ta1S1Se1,3.36
719,Ta1V2,3.2
720,Ta4Pd3Te16,4.38
721,Ta5Ge1B2,3.8
722,Tc2Y1,8.8
723,Tc2Zr1,7.6
724,Te3Zr1,2.7700000000000005
725,Ti1Ir1Si1,2.2333333333333334
726,Ti1Rh1Si1,5.1
727,Ti1Ru1P1,1.315
728,Ti1Se2,1.8
729,Ti1V1,6.09
730,Ti2In1C1,3.1
731,Ti2In1N1,7.3
732,Ti50V50,6.15
733,Tl1Ba1Sr1Ca2Cu3O9,101.0
734,Tl1Ba2Ca1Cu2O7,86.65
735,Tl1Ba2Ca3Cu4O11,118.05
736,Tl1Ba2Cu1O5,55.0
737,Tl1La1Sr1Cu1O5,34.0
738,Tl1Ni2Se2,3.7
739,Tl1Sr1La1Cu1O5,32.0
740,Tl1Sr2Ca1Cu2O7,59.4
741,Tl1V6S8,4.1
742,Tl3Cr1Sr8Cu4O20,25.0
743,Tl3Y1,1.52
744,Tm1Ba2Cu3O7,91.2
745,Tm1Ba2Cu4O8,79.42
746,Tm1Ir4B4,1.675
747,Tm1Ni2B2C1,10.732222222222223
748,Tm1Pd2Sn1,1.92
749,Tm2Fe3Si5,1.8433333333333335
750,Tm5Ir4Si10,1.9
751,V2Ir1B2,1.12
752,Y1Ba2Cu3O7,85.4697909090909
753,Y1Ba2Cu3O8,86.5
754,Y1Ba2Cu3S1O6,89.5
755,Y1Fe2Ge2,1.155
756,Y1Fe2Si2,2.9
757,Y1In3,0.96
758,Y1Ir1Si1,2.7
759,Y1Mo6Se8,6.38
760,Y1Ni1Ge3,0.46
761,Y1Ni2B2C1,14.852380952380951
762,Y1Os1B2,2.22
763,Y1Os1B4,1.4
764,Y1Os2Si2,1.1
765,Y1Pd2B2C1,22.6
766,Y1Pd2P2,0.96
767,Y1Pd2Pb1,4.13
768,Y1Pd2Si2,0.785
769,Y1Pd2Sn1,4.993333333333333
770,Y1Pt1Bi1,0.9066666666666666
771,Y1Rh2Si2,2.1
772,Y1Rh2Sn1,4.1
773,Y1Rh4B4,10.95775
774,Y1Ru1B2,7.7
775,Y1Ru1B4,1.38
776,Y1Ru2Si2,1.1
777,Y1Ru3Si2,3.51
778,Y1Ru4B4,1.4
779,Y2Al1Ge3,4.5
780,Y2C2I2,9.985
781,Y2Cl2C2,2.3
782,Y2Fe1C4,3.6
783,Y2Fe3Si5,2.1266666666666665
784,Y2I2C2,9.85
785,Y2Ir3Si5,3.005
786,Y2Ni1Ge3,0.533
787,Y2Re3Si5,1.76
788,Y2Rh3Si5,2.7
789,Y3Os4Ge13,3.9
790,Y3Os8B6,5.8
791,Y3Pt4Ge6,2.6
792,Y3Ru4Ge13,2.1166666666666667
793,Y5Ir4Ge10,2.76
794,Y5Ir4Si10,2.9066666666666667
795,Y5Os4Ge10,8.946666666666667
796,Y5Rh4Ge10,1.35
797,Y6Nb4Al43,0.86
798,Y6Ta4Al43,0.68
799,Yb1Ba2Cu3O7,90.7
800,Yb1Ba2Cu4O8,78.8
801,Yb1Fe4Al8,50.0
802,Yb1Mo6Se8,6.0
803,Yb1Pd2Ge2,1.17
804,Yb1Pd2Sn1,2.06
805,Yb3Co4Sn13,2.5
806,Yb3Rh4Sn13,7.833333333333333
807,Zn1N1Ni3,3.0
808,Zn2Zr1,0.44499999999999995
809,Zr1B12,6.09
810,Zr1Ir1Si1,2.04
811,Zr1Os1As1,8.0
812,Zr1Os1Si1,1.72
813,Zr1Pd2Al1,3.4
814,Zr1Rh1P1,1.525
815,Zr1Ru1As1,8.716666666666667
816,Zr1Ru1Ge1,9.0
817,Zr1Ru1Si1,9.733333333333333
818,Zr1V1Ge1,6.0
819,Zr2Ru3Si4,5.7
