material_id,composition,tc
310,Hg1Ba2Ca2Cu3O8,126.61428571428571
204,Ce1Pt3Si1,0.6692222222222222
276,Ga6Y1,2.0
531,Nb4Fe1Si1,6.8
686,Sn1Ta3,6.6925
274,Ga41Mo8,9.7
556,Os2Y1,4.7
4,Ag2F1,0.066
351,K1Fe2As2,3.3294444444444444
814,Zr1Rh1P1,1.525
240,Dy1Ir2Rh2B4,4.64
403,La1Rh1Sn1,1.9166666666666667
630,Rb1Bi1O3,11.0
643,Rh17S15,5.5200000000000005
502,Mo4P3,2.75
674,Sc5Rh4Si10,8.405
774,Y1Ru1B2,7.7
518,Nb2In1C1,7.5
297,Hf1Os1As1,3.2
339,Ir1Ti3,5.1850000000000005
535,Nb6Sn5,2.435
574,Pb3Yb1,0.23
72,Ba1Al1Ge1,6.3
711,Sr4Sc2Fe2P2O6,17.0
729,Ti1V1,6.09
402,La1Rh1Si3,2.245
732,Ti50V50,6.15
32,Au1Ga40Mo8,9.4
5,Al13Os4,5.4
160,Ca1Ir1Si3,3.3
817,Zr1Ru1Si1,9.733333333333333
143,C1Ga1Mo2,3.9
427,La3Ni4P4O2,2.2
309,Hg1Ba2Ca1Cu2O6,119.75625
123,Bi2La4Pb1,2.3
566,Pb1Ta1Se2,3.695
179,Ca3Rh4Sn13,7.4775
93,Ba6Ge25,0.24
553,O1W3,3.35
302,Hf1Rh1,1.73
426,La3Ni2B2N3,13.0325
2,Ag1Mo6S8,7.7
702,Sr1Pt1Ge3,1.0
789,Y3Os4Ge13,3.9
618,Pr1Ti2Al20,0.19
90,Ba2Ti2Fe2As4O1,20.125
433,La3Rh4Pb13,2.2
35,Au1Pb2,3.76
346,Ir2Y3,1.61
780,Y2C2I2,9.985
235,Cu4K1S3,1.4
454,Li2Mo15Se19,2.6
669,Sc1Tc2,10.9
693,Sr1Fe2As2,27.566666666666663
704,Sr2Cu1Cl1O2,20.0
721,Ta5Ge1B2,3.8
256,Fe2As2Sr4Mg1Ti1O6,6.0
293,Ge5La1,7.0
394,La1Pt2,0.46
150,C6Ca1,11.303
182,Cd1Mo6S8,1.8
210,Ce1Ru3Si2,1.25
664,Sc1Ir1P1,3.46
767,Y1Pd2Pb1,4.13
466,Lu1Pd2Sn1,2.91
324,In1La3,9.61
233,Cu1Se1Te1,1.9
428,La3Ni4Si4,0.96
114,Bi1Na1,2.25
681,Sm1Ba2Cu4O8,69.3
11,Al2Au1,0.095
801,Yb1Fe4Al8,50.0
450,Li1Cu2P2,3.7
248,Er1Ni2B2C1,10.326363636363636
59,B1W2,3.2
810,Zr1Ir1Si1,2.04
21,As1Nb3,2.353333333333333
818,Zr1V1Ge1,6.0
270,Ga2Y1,1.68
266,Ga1V1,16.45
292,Ge3Y1,2.35
752,Y1Ba2Cu3O7,85.4697909090909
800,Yb1Ba2Cu4O8,78.8
807,Zn1N1Ni3,3.0
14,Al2Pt1,0.515
460,Lu1Ni1B1C1,2.786666666666666
280,Gd1Ba2Cu4O8,73.28571428571429
86,Ba24Si100,1.475
18,Al3Yb1,0.94
410,La1Ru4Sb12,3.293333333333333
314,Hg1Mg1,0.935
632,Rb1Os2O6,6.318
549,Ni2Nb1Sn1,3.15
334,In3Te4,1.2
384,La1Pb3,4.086666666666667
495,Mo2B1C1,7.5
590,Pd1Zr2,2.36
307,Hf2Rh1,1.72
486,Mg10Ir19B16,4.0875
622,Pt1Si1,0.88
327,In1V6S8,3.9
448,La7Ru3,1.835
190,Ce1Co2,1.1125
658,Ru7B3,3.05
497,Mo3Al2C1,10.0
15,Al2Zr1,0.35
358,La1Al2,3.23
369,La1Mo6S8,6.73
57,B1Ta1,4.0
99,Be17Nb2,1.47
507,N5Nb4,8.5
751,V2Ir1B2,1.12
251,Er2Fe3Si5,0.93
333,In3Rh1,0.19
442,La5Ru2,2.35
404,La1Rh2Si2,1.658
69,B6La1,3.075
142,Bi4Te3,5.25
627,Pt2Y1,2.835
523,Nb3Rh1,2.7423333333333333
387,La1Pd2As2,0.97
415,La1Sn2,3.6
305,Hf1Tc2,5.6
688,Sn3Zr5,1.9
8,Al1Os1,0.39
449,La9Br5B3C6,6.0
430,La3Pd4Si4,2.065
398,La1Rh1Al1,2.4
55,B1Nb1,8.25
731,Ti2In1N1,7.3
42,Au2In1Y1,1.74
505,Mo6S6Br2,13.4
382,La1Os4P12,1.8
525,Nb3Se4,1.9425
806,Yb3Rh4Sn13,7.833333333333333
748,Tm1Pd2Sn1,1.92
285,Ge2Hf1,2.2
762,Y1Os1B2,2.22
705,Sr2Ru1O4,1.342
105,Be2Ru1,1.35
355,K1V6S8,0.71
73,Ba1Al1Sn1,2.9
224,Cs1Os2O6,3.27
53,B1Mo1Re1,5.09
633,Rb1V6S8,0.65
490,Mg2Zn11,0.88
474,Lu1S1,1.1
734,Tl1Ba2Ca1Cu2O7,86.65
813,Zr1Pd2Al1,3.4
628,Pt2Y8,0.9
205,Ce1Rh1In5,1.85875
332,In3Mo15Se19,3.32
96,Ba8Si40Ga6,3.3
539,Nd1Pt4Ge12,0.7
16,Al3Mg2,0.855
431,La3Pd5Si1,1.4
677,Si3Sr2,0.55
85,Ba1Ti2Sb2O1,1.205
514,Nb1Si1As1,8.2
687,Sn3Yb1,3.6
471,Lu1Ru2,1.545
388,La1Pd2Ge2,1.04
193,Ce1In3,0.1733333333333333
722,Tc2Y1,8.8
573,Pb3Y1,4.72
362,La1Fe4P12,4.1000000000000005
253,Eu1Ba2Cu4O8,70.1
145,C2Mo1Re1,3.8
137,Bi3Mo1,3.7
39,Au1Sc1,2.0
218,Co1Si2,1.3066666666666666
322,Ho1Rh4B4,1.4
614,Pr1Pt2B2C1,6.0
456,Li2Pt3B1,2.728
742,Tl3Cr1Sr8Cu4O20,25.0
318,Hg2Na1,1.62
691,Sr1Au1Si3,1.65
654,Ru1W1,7.5
550,Ni2P2Sr4Sc2O6,3.5250000000000004
373,La1Ni1C2,2.89
562,P3Pd7,0.85
726,Ti1Rh1Si1,5.1
617,Pr1Ru4P12,1.8
353,K1Ni2S2,0.46
390,La1Pd2Sb2,1.3
571,Pb2Sr2Eu1Cu3O8,71.0
422,La2Sb1,3.025
61,B2Nb1,5.254285714285714
665,Sc1Os1B2,1.34
320,Ho1Ba2Cu4O8,76.78
417,La1Tl3,1.5666666666666669
58,B1Ta2,3.12
12,Al2C1Mo3,9.025
338,Ir1Sn2,0.7150000000000001
747,Tm1Ni2B2C1,10.732222222222225
383,La1Os4Sb12,0.80775
724,Te3Zr1,2.7700000000000005
808,Zn2Zr1,0.4449999999999999
765,Y1Pd2B2C1,22.6
100,Be22Mo1,2.5275
619,Pr1V2Al20,0.0445
60,B2Mg1,35.56130434782609
191,Ce1Cu2Ge2,1.32
128,Bi2Sr2Ca1Cu2I1O8,69.35
257,Fe2As2Sr4V2O6,27.0
472,Lu1Ru2Si2,2.4
214,Ce2Rh1In8,1.0833333333333333
589,Pd1V3,0.081
70,B6Nd1,3.0
713,Ta1Ge2,2.3
229,Cu1Rh2S4,4.7425
127,Bi2Rh1,2.2
703,Sr1Sn3Sb4,3.9
288,Ge2Sc1,1.3
232,Cu1Se1Te,1.6
347,Ir2Zr1,4.1
30,Au1Be1,1.775
112,Bi1La4Pb2,2.5
273,Ga3Zr5,3.85
377,La1Ni1Si1,1.23
206,Ce1Rh1Si3,0.914
439,La3Sn1,6.2
475,Lu1Se1,0.56
467,Lu1Pt1Bi1,1.0
335,In3Y1,0.78
646,Rh1Zr2,11.165
594,Pd2Lu1Pb1,2.4
352,K1Fe2Se2,40.0
326,In1Sc1Au2,3.02
130,Bi2Sr2Ca2Cu3O10,108.125
620,Pt1,0.0049879999999999
791,Y3Pt4Ge6,2.6
508,Na1Al1Si1,7.2
768,Y1Pd2Si2,0.785
75,Ba1Ga1Si1,4.05
575,Pb3Zr5,4.6
567,Pb1Zr3,0.76
695,Sr1Ni2As2,0.66
587,Pd1Tl1Pb1,1.78
457,Li3Mo15Se19,3.5
662,Sb2Tl7,5.2
736,Tl1Ba2Cu1O5,55.0
238,Dy1Ba2Cu4O8,74.46666666666667
37,Au1Pd1In1Y1,2.3
496,Mo2Ir1B2,3.6
211,Ce2Co1In8,0.4
199,Ce1Ni2Ge2,0.2166666666666666
10,Al25Nb75,17.5
381,La1Os4As12,3.2
499,Mo3S2Se2,3.3
576,Pb4Pt1,2.8
393,La1Pt1Si1,3.8333333333333335
19,Al5Re24,3.35
134,Bi3In5,4.189
365,La1Ir1Si1,2.3
148,C3Y2,14.85625
788,Y2Rh3Si5,2.7
545,Ni2Hf1Al1,0.74
480,Lu3Os4Ge13,3.6
656,Ru2Y1,2.23
511,Nb1Pt1Si1,1.24
64,B2Ru1,1.6
171,Ca2In1N1,0.6
792,Y3Ru4Ge13,2.1166666666666667
63,B2Re1,6.3
405,La1Rh3B2,2.57
510,Nb1P1S1,12.5
534,Nb50Zr50,10.2
611,Pr1Fe1P1O1,3.5866666666666664
521,Nb3Os2,1.78
312,Hg1Ba2Cu1O4,76.21785714285714
264,Ga1Sr2Ca2Cu3O9,70.0
561,P1Zr3,4.5
399,La1Rh1P1,2.5
642,Re2Zr1,6.366666666666667
712,Sr4V2Fe2As2O6,31.5
255,Fe1P1Sr2Sc1O3,15.0
24,As1Sn1,3.755
34,Au1Lu1,0.37
565,Pb1Mo6S4Se4,3.2
440,La3Te4,4.0275
54,B1Mo2,5.483333333333333
356,K2In1Mo15Se19,1.3
380,La1Ni2P2,2.6
610,Pr1Fe1As1O,34.5
639,Re2Sc1,2.565
803,Yb1Pd2Ge2,1.17
149,C60Ca5,8.4
783,Y2Fe3Si5,2.1266666666666665
676,Si2W3,2.84
325,In1Pd1,0.7
464,Lu1Os3B2,4.655
536,NbSn3,18.0
225,Cs1V6S8,0.32
586,Pd1Te2,1.61
745,Tm1Ba2Cu4O8,79.42
663,Sb2Yb1,1.3
271,Ga3Lu1,2.25
515,Nb1Sn2,2.64
648,Rh2Y3,1.48
198,Ce1Ni2B2C1,0.1
92,Ba6C60,7.0
720,Ta4Pd3Te16,4.38
103,Be2Nb1,2.15
699,Sr1Pd2As2,0.92
83,Ba1Sn3,4.3
461,Lu1Ni2B2C1,15.880666666666666
766,Y1Pd2P2,0.96
670,Sc2Fe3Si5,4.57
51,B1Hf1,3.1
649,Rh3Bi14,2.94
412,La1Si10,6.7
110,Bi1K1,3.6
183,Cd1Mo6Se8,2.4
414,La1Si5,11.4
682,Sm1Fe1As1O,53.8
195,Ce1Ir1In5,0.7704285714285714
367,La1Ir2Ge2,1.5
568,Pb2Pd1,2.98
692,Sr1Fe2As1P1,9.095
267,Ga1Zr2,0.38
739,Tl1Sr1La1Cu1O5,32.0
181,Cd1C1Ni3,3.1333333333333333
485,Lu5Rh4Ge10,2.79
462,Lu1Os1B2,2.66
690,Sr1Al1Si1,4.75
291,Ge3Rh5,2.12
159,Ca1Hg1,1.6
261,Ga1Nb3,16.88888888888889
603,Pd2Yb1Pb1,2.65
275,Ga5V2,3.57
666,Sc1Pd2Sn1,2.145
180,Ca4Rh6Pb19,3.3
533,Nb50Zr25Hf25,10.1
139,Bi3Rh1,3.175
226,Cu1Co2S4,3.9
125,Bi2Pd3Se2,0.96
542,Ni1Zr2,1.981666666666667
761,Y1Ni2B2C1,14.852380952380951
173,Ca2Sr2Cu3Ga1O9,73.0
272,Ga3Sc1,2.1
364,La1Ir1P1,5.3
541,Ni1Sm1,1.6
104,Be2Nb3,2.3
559,P1Pd3,0.35
0,Ag1B2,6.7
313,Hg1In1,3.81
481,Lu3Rh4Ge13,2.3
749,Tm2Fe3Si5,1.8433333333333333
223,Cs1Fe2As2,2.08
68,B3Ru7,2.98
22,As1Pd5,0.46
277,Ga7Pt3,2.9
47,B12Sc1,0.39
28,As2W1,0.9
492,Mo1Ni1P1,15.5
111,Bi1La2,0.76
340,Ir1Zr3,2.13
287,Ge2Lu1,2.6
294,Ge7Ir3,0.87
782,Y2Fe1C4,3.6
446,La7Pd3,1.48
323,I1Bi2Sr2Ca1Cu2O8,65.25
366,La1Ir1Si3,1.4733333333333334
98,Ba8Si46,8.1425
108,Bi14Rh3,2.85
715,Ta1Pt1Si1,3.54
596,Pd2Sc1Sn1,2.1
116,Bi1Pd1Te1,1.2
493,Mo1Ru1,10.0
718,Ta1S1Se1,3.36
470,Lu1Ru1B2,10.053999999999998
331,In3Lu1,0.24
97,Ba8Si42Cu4,2.9
644,Rh1V3,0.38
406,La1Ru2,3.7032
483,Lu5Ir4Ge10,2.55
785,Y2Ir3Si5,3.005
651,Rh5Y1,0.56
612,Pr1Mo6S8,2.55
44,Au5Ca1,0.34
757,Y1In3,0.96
581,Pd1Sb2,1.25
147,C3La2,10.66
133,Bi3Ca1,1.85
234,Cu2Sb1,0.085
196,Ce1Ir1Si3,1.53
657,Ru2Zr1,2.053333333333333
512,Nb1Rh1P1,4.25
376,La1Ni1Sb2,1.0
775,Y1Ru1B4,1.38
113,Bi1Li1,2.4625000000000004
667,Sc1Rh2Sn1,2.0
816,Zr1Ru1Ge1,9.0
242,Dy1Ni2B2C1,5.42076923076923
337,Ir1Nb3,1.8766666666666667
391,La1Pd2Si2,0.39
809,Zr1B12,6.09
289,Ge2Y1,3.8
645,Rh1Y3,0.65
754,Y1Ba2Cu3S1O6,89.5
219,Co1Ti1,0.71
374,La1Ni1Ga2,1.97
463,Lu1Os2,3.49
17,Al3Tl1,0.75
626,Pt2Sr1,0.7
131,Bi2Sr2Cu1O6,8.9625
506,Mo8P5,5.8
378,La1Ni1Sn1,0.59
418,La1Zn1,1.04
221,Cr3Ir1,0.256
564,P4W14O50,0.39
477,Lu1Tc2,9.9
685,Sn1Mo6Se8,3.4
250,Er1Rh2Ir2B4,6.76
239,Dy1Ga6,5.9
407,La1Ru2P2,3.9333333333333336
25,As2Cd1Ge1,3.02
419,La2C2Br2,7.03
563,P3Sn4,1.24
588,Pd1Tl2,1.32
557,Os2Zr1,2.95
67,B3Re7,3.19
779,Y2Al1Ge3,4.5
524,Nb3Sb1,2.2
697,Sr1Ni2P2,1.415
252,Eu1Ba2Cu3O7,89.19615384615385
184,Cd1Sn1,3.65
741,Tl1V6S8,4.1
120,Bi2Cs1,4.75
598,Pd2Sn1Y1,4.9
315,Hg1Pb2,5.8
379,La1Ni2Ge2,0.69
558,P1Pb1,7.8
528,Nb3Sn0.2Sn0.8,15.89
